#kx	ky	kz
-4.0941900e-01 2.2349763e-01 0.0000000e+00
-4.3177414e-01 2.0464169e-01 0.0000000e+00
-4.5436495e-01 1.8606865e-01 0.0000000e+00
-4.7713533e-01 1.6771609e-01 0.0000000e+00
-5.0000941e-01 1.4949283e-01 0.0000000e+00
-5.2288451e-01 1.3127088e-01 0.0000000e+00
-5.4560968e-01 1.1286264e-01 0.0000000e+00
-5.6794301e-01 9.3982254e-02 0.0000000e+00
-5.8944960e-01 7.4169748e-02 0.0000000e+00
-6.0923614e-01 5.2655334e-02 0.0000000e+00
-6.2513067e-01 2.8187204e-02 0.0000000e+00
6.3012730e-01 0.0000000e+00 7.9333148e-02
6.2338592e-01 2.8124616e-02 7.9333148e-02
6.0764920e-01 5.2593090e-02 7.9333148e-02
5.8802232e-01 7.4137212e-02 7.9333148e-02
5.6666933e-01 9.3989126e-02 7.9333148e-02
5.4448495e-01 1.1291211e-01 7.9333148e-02
5.2190378e-01 1.3136116e-01 7.9333148e-02
4.9916742e-01 1.4961898e-01 7.9333148e-02
4.7642630e-01 1.6787089e-01 7.9333148e-02
4.5378354e-01 1.8624460e-01 7.9333148e-02
4.3131258e-01 2.0482792e-01 7.9333148e-02
4.0906967e-01 2.2368351e-01 7.9333148e-02
3.8709901e-01 2.4285554e-01 7.9333148e-02
3.6543332e-01 2.6237147e-01 7.9333148e-02
3.4409962e-01 2.8224974e-01 7.9333148e-02
3.2311693e-01 3.0249812e-01 7.9333148e-02
3.0249812e-01 3.2311693e-01 7.9333148e-02
2.8224974e-01 3.4409962e-01 7.9333148e-02
2.6237147e-01 3.6543332e-01 7.9333148e-02
2.4285554e-01 3.8709901e-01 7.9333148e-02
2.2368351e-01 4.0906967e-01 7.9333148e-02
2.0482792e-01 4.3131258e-01 7.9333148e-02
1.8624460e-01 4.5378354e-01 7.9333148e-02
1.6787089e-01 4.7642630e-01 7.9333148e-02
1.4961898e-01 4.9916742e-01 7.9333148e-02
1.3136116e-01 5.2190378e-01 7.9333148e-02
1.1291211e-01 5.4448495e-01 7.9333148e-02
9.3989126e-02 5.6666933e-01 7.9333148e-02
7.4137212e-02 5.8802232e-01 7.9333148e-02
5.2593090e-02 6.0764920e-01 7.9333148e-02
2.8124616e-02 6.2338592e-01 7.9333148e-02
3.8584169e-17 -6.3012730e-01 7.9333148e-02
2.8124616e-02 -6.2338592e-01 7.9333148e-02
5.2593090e-02 -6.0764920e-01 7.9333148e-02
7.4137212e-02 -5.8802232e-01 7.9333148e-02
9.3989126e-02 -5.6666933e-01 7.9333148e-02
1.1291211e-01 -5.4448495e-01 7.9333148e-02
1.3136116e-01 -5.2190378e-01 7.9333148e-02
1.4961898e-01 -4.9916742e-01 7.9333148e-02
1.6787089e-01 -4.7642630e-01 7.9333148e-02
1.8624460e-01 -4.5378354e-01 7.9333148e-02
2.0482792e-01 -4.3131258e-01 7.9333148e-02
2.2368351e-01 -4.0906967e-01 7.9333148e-02
2.4285554e-01 -3.8709901e-01 7.9333148e-02
2.6237147e-01 -3.6543332e-01 7.9333148e-02
2.8224974e-01 -3.4409962e-01 7.9333148e-02
3.0249812e-01 -3.2311693e-01 7.9333148e-02
3.2311693e-01 -3.0249812e-01 7.9333148e-02
3.4409962e-01 -2.8224974e-01 7.9333148e-02
3.6543332e-01 -2.6237147e-01 7.9333148e-02
3.8709901e-01 -2.4285554e-01 7.9333148e-02
4.0906967e-01 -2.2368351e-01 7.9333148e-02
