#theta[deg]	rhozz(theta)/rhozz(0)
0.0000000e+00 1.0000000e+00
1.0471976e-01 1.0000057e+00
2.0943951e-01 1.0000226e+00
3.1415927e-01 1.0000500e+00
4.1887902e-01 1.0000866e+00
5.2359878e-01 1.0001310e+00
6.2831853e-01 1.0001810e+00
7.3303829e-01 1.0002347e+00
8.3775804e-01 1.0002895e+00
9.4247780e-01 1.0003432e+00
1.0471976e+00 1.0003934e+00
1.1519173e+00 1.0004379e+00
1.2566371e+00 1.0004748e+00
1.3613568e+00 1.0005023e+00
1.4660766e+00 1.0005194e+00
1.5707963e+00 1.0005252e+00
1.6755161e+00 1.0005195e+00
1.7802358e+00 1.0005026e+00
1.8849556e+00 1.0004752e+00
1.9896753e+00 1.0004384e+00
2.0943951e+00 1.0003940e+00
2.1991149e+00 1.0003438e+00
2.3038346e+00 1.0002901e+00
2.4085544e+00 1.0002351e+00
2.5132741e+00 1.0001814e+00
2.6179939e+00 1.0001313e+00
2.7227136e+00 1.0000869e+00
2.8274334e+00 1.0000501e+00
2.9321531e+00 1.0000227e+00
3.0368729e+00 1.0000057e+00
3.1415927e+00 1.0000000e+00
