#theta[deg]	rzz(phi=0)	rzz(phi=15)	rzz(phi=30)	rzz(phi=45)	B[T]	gamma_0[THz]	gamma_k[THz]	power	t[meV]	tp	tpp	tz	tz2	mu	mesh_ds	mesh_z
0.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
5.0000000e+00 1.0002105e+00 1.0002102e+00 1.0002099e+00 1.0002097e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
1.0000000e+01 1.0008136e+00 1.0008107e+00 1.0008051e+00 1.0008022e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
1.5000000e+01 1.0017283e+00 1.0017144e+00 1.0016868e+00 1.0016730e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
2.0000000e+01 1.0028235e+00 1.0027822e+00 1.0026999e+00 1.0026589e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
2.5000000e+01 1.0039279e+00 1.0038353e+00 1.0036497e+00 1.0035571e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
3.0000000e+01 1.0048456e+00 1.0046726e+00 1.0043262e+00 1.0041530e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
3.5000000e+01 1.0053784e+00 1.0050986e+00 1.0045378e+00 1.0042570e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
4.0000000e+01 1.0053580e+00 1.0049565e+00 1.0041502e+00 1.0037456e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
4.5000000e+01 1.0046868e+00 1.0041698e+00 1.0031277e+00 1.0026026e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
5.0000000e+01 1.0033826e+00 1.0027809e+00 1.0015611e+00 1.0009433e+00 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
5.5000000e+01 1.0016140e+00 1.0009738e+00 9.9966649e-01 9.9899960e-01 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
6.0000000e+01 9.9970009e-01 9.9905469e-01 9.9772926e-01 9.9704892e-01 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
6.5000000e+01 9.9803816e-01 9.9737203e-01 9.9600642e-01 9.9530698e-01 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
7.0000000e+01 9.9695587e-01 9.9619255e-01 9.9464460e-01 9.9385982e-01 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
7.5000000e+01 9.9656299e-01 9.9560032e-01 9.9366562e-01 9.9269399e-01 4.5000000e+01 1.5000000e+01 6.5000000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.2500000e-01 2.0943951e-01 7.0000000e+00
